table,field,description,unit_or_scale
raw_csv,freq1,Reported centre-frequency/bin value for the spectral observation.,Driver-reported frequency scale; see manuscript.
raw_csv,noise,Driver-reported noise-floor estimate.,Driver scale / dB-like value; contextual calibration metadata.
raw_csv,max_magnitude,Maximum spectral-bin magnitude reported for the observation.,Driver-reported magnitude.
raw_csv,total_gain_db,Receiver total-gain value.,dB
raw_csv,base_pwr_db,Receiver base-power value.,dB-like driver value
raw_csv,rssi,Raw receiver RSSI field.,Driver scale
raw_csv,relpwr_db,Relative-power value.,dB
raw_csv,avgpwr_db,Average-power value.,dB-like driver value
manifest,file_path,Manifest metadata or integrity-audit field generated by the release notebook.,
manifest,relative_path,Portable path of the raw CSV relative to the dataset root.,
manifest,file_name,Raw CSV filename.,
manifest,scan_mode,Active or passive spectral-scan acquisition mode.,
manifest,label,Benign or malicious class label.,
manifest,benign_subtype,Background or chamber-floor subtype for benign records.,
manifest,location,Acquisition location/domain identifier.,
manifest,waveform,Jammer waveform where applicable.,
manifest,power_dbm,Configured jammer transmit power in dBm where applicable.,
manifest,channel_mhz,Target/jammed channel frequency where applicable.,
manifest,band,2.4 GHz or 5 GHz band.,
manifest,collection_environment,Real-world indoor or RF-chamber acquisition environment.,
manifest,is_location_expected,Manifest metadata or integrity-audit field generated by the release notebook.,
manifest,band_expected,Manifest metadata or integrity-audit field generated by the release notebook.,
manifest,band_missing_when_expected,Manifest metadata or integrity-audit field generated by the release notebook.,
manifest,location_missing_when_expected,Manifest metadata or integrity-audit field generated by the release notebook.,
manifest,file_size_bytes,Raw CSV file size in bytes.,
manifest,header_columns,Manifest metadata or integrity-audit field generated by the release notebook.,
manifest,header_ok,Whether the raw CSV header matches the expected eight fields.,
manifest,header_error,"Header-read error, when present.",
manifest,row_count,Number of observations in the raw CSV.,
manifest,row_count_error,"Row-count error, when present.",
file_level_features,row_count_manifest,File-level metadata or quality-control field.,
file_level_features,aggregation_error,File-level metadata or quality-control field.,
file_level_features,row_count_actual,File-level metadata or quality-control field.,
file_level_features,duplicate_fraction,File-level metadata or quality-control field.,
file_level_features,missing_fraction_overall,File-level metadata or quality-control field.,
file_level_features,freq1_mean,File-level mean summary derived from the freq1 field.,
file_level_features,freq1_std,File-level std summary derived from the freq1 field.,
file_level_features,freq1_min,File-level min summary derived from the freq1 field.,
file_level_features,freq1_q25,File-level q25 summary derived from the freq1 field.,
file_level_features,freq1_median,File-level median summary derived from the freq1 field.,
file_level_features,freq1_q75,File-level q75 summary derived from the freq1 field.,
file_level_features,freq1_max,File-level max summary derived from the freq1 field.,
file_level_features,freq1_skew,File-level skew summary derived from the freq1 field.,
file_level_features,freq1_kurtosis,File-level kurtosis summary derived from the freq1 field.,
file_level_features,noise_mean,File-level mean summary derived from the noise field.,
file_level_features,noise_std,File-level std summary derived from the noise field.,
file_level_features,noise_min,File-level min summary derived from the noise field.,
file_level_features,noise_q25,File-level q25 summary derived from the noise field.,
file_level_features,noise_median,File-level median summary derived from the noise field.,
file_level_features,noise_q75,File-level q75 summary derived from the noise field.,
file_level_features,noise_max,File-level max summary derived from the noise field.,
file_level_features,noise_skew,File-level skew summary derived from the noise field.,
file_level_features,noise_kurtosis,File-level kurtosis summary derived from the noise field.,
file_level_features,max_magnitude_mean,File-level mean summary derived from the max_magnitude field.,
file_level_features,max_magnitude_std,File-level std summary derived from the max_magnitude field.,
file_level_features,max_magnitude_min,File-level min summary derived from the max_magnitude field.,
file_level_features,max_magnitude_q25,File-level q25 summary derived from the max_magnitude field.,
file_level_features,max_magnitude_median,File-level median summary derived from the max_magnitude field.,
file_level_features,max_magnitude_q75,File-level q75 summary derived from the max_magnitude field.,
file_level_features,max_magnitude_max,File-level max summary derived from the max_magnitude field.,
file_level_features,max_magnitude_skew,File-level skew summary derived from the max_magnitude field.,
file_level_features,max_magnitude_kurtosis,File-level kurtosis summary derived from the max_magnitude field.,
file_level_features,total_gain_db_mean,File-level mean summary derived from the total_gain_db field.,
file_level_features,total_gain_db_std,File-level std summary derived from the total_gain_db field.,
file_level_features,total_gain_db_min,File-level min summary derived from the total_gain_db field.,
file_level_features,total_gain_db_q25,File-level q25 summary derived from the total_gain_db field.,
